epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,41024,1.10609,1.13026,1.33106,0.70432,0.70212,0.72452,0.50047,1.13814,1.04233,1.35887,0.004357,0.004357,0.004357
59,41330.8,1.09567,1.08947,1.31453,0.76202,0.70017,0.7519,0.52424,1.13139,0.99417,1.35784,0.004258,0.004258,0.004258
60,41636.6,1.08016,1.09022,1.31447,0.7741,0.67891,0.74427,0.51419,1.14529,1.00177,1.36913,0.004159,0.004159,0.004159
61,41942.7,1.0913,1.09863,1.32524,0.73374,0.72905,0.76398,0.52614,1.12845,0.99142,1.36225,0.00406,0.00406,0.00406
62,42245.7,1.09168,1.1121,1.33301,0.81334,0.67843,0.76668,0.53484,1.1441,0.96195,1.38137,0.003961,0.003961,0.003961
63,42551.8,1.05295,1.03172,1.29751,0.7258,0.71682,0.7607,0.52289,1.12289,0.98364,1.3621,0.003862,0.003862,0.003862
64,42856,1.06292,1.05851,1.30401,0.74804,0.72264,0.76057,0.52153,1.12174,0.99181,1.35266,0.003763,0.003763,0.003763
65,43159.4,1.04958,1.04294,1.29336,0.76963,0.69829,0.76216,0.53065,1.13991,0.95346,1.3767,0.003664,0.003664,0.003664
66,43462.1,1.03998,1.02762,1.2993,0.74256,0.7444,0.76581,0.54294,1.09553,0.93145,1.3485,0.003565,0.003565,0.003565
67,43765.2,1.06142,1.05238,1.30225,0.81649,0.68551,0.77929,0.54764,1.09747,0.91722,1.33958,0.003466,0.003466,0.003466
68,44070.1,1.04188,1.03439,1.29002,0.80547,0.69161,0.76546,0.53697,1.07552,0.92475,1.32447,0.003367,0.003367,0.003367
69,44374.5,1.0276,1.00421,1.28085,0.71641,0.73258,0.76469,0.53962,1.08735,0.94583,1.32003,0.003268,0.003268,0.003268
70,44679.6,1.02186,1.00346,1.27773,0.74296,0.74083,0.78486,0.55452,1.08245,0.91385,1.3319,0.003169,0.003169,0.003169
71,44986.8,1.0228,1.00935,1.281,0.75825,0.75418,0.78315,0.54907,1.07527,0.92885,1.32363,0.00307,0.00307,0.00307
72,45297.4,1.01028,0.98342,1.26962,0.77767,0.7303,0.77993,0.56049,1.05823,0.90106,1.30689,0.002971,0.002971,0.002971
73,45603.6,0.99226,0.96083,1.26158,0.80552,0.72114,0.77996,0.56232,1.06686,0.91704,1.31675,0.002872,0.002872,0.002872
74,45909.3,0.99113,0.95858,1.24865,0.77224,0.7422,0.78172,0.55967,1.06463,0.88823,1.30814,0.002773,0.002773,0.002773
75,46214.4,0.97946,0.96213,1.25842,0.80131,0.73348,0.79007,0.56627,1.07071,0.86156,1.31986,0.002674,0.002674,0.002674
76,46521.5,0.97812,0.93303,1.24958,0.77514,0.76088,0.80059,0.57217,1.07165,0.87446,1.31786,0.002575,0.002575,0.002575
77,46827,0.97721,0.92951,1.2463,0.8281,0.74099,0.8059,0.57175,1.06622,0.84065,1.32719,0.002476,0.002476,0.002476
78,47131.7,0.95882,0.911,1.23479,0.80639,0.75106,0.81533,0.5932,1.03846,0.82265,1.30178,0.002377,0.002377,0.002377
79,47436.7,0.96435,0.92736,1.23841,0.7906,0.76536,0.81471,0.58818,1.04047,0.82212,1.29788,0.002278,0.002278,0.002278
80,47743,0.95763,0.92177,1.22904,0.82037,0.76946,0.82044,0.598,1.02653,0.81635,1.28439,0.002179,0.002179,0.002179
81,48048.3,0.94084,0.88584,1.21638,0.80465,0.75359,0.81253,0.59349,1.0225,0.81016,1.27905,0.00208,0.00208,0.00208
82,48354.5,0.95477,0.90647,1.22862,0.80662,0.77148,0.81133,0.58916,1.03104,0.82091,1.28086,0.001981,0.001981,0.001981
83,48664.4,0.93971,0.87787,1.21808,0.83389,0.7552,0.81756,0.59921,1.01341,0.81531,1.27086,0.001882,0.001882,0.001882
84,48975.2,0.93465,0.8786,1.21753,0.81001,0.75636,0.81017,0.59068,1.01692,0.80911,1.27674,0.001783,0.001783,0.001783
85,49283.3,0.93079,0.87808,1.2182,0.76555,0.77764,0.80981,0.59659,1.02427,0.82648,1.29086,0.001684,0.001684,0.001684
86,49589.9,0.91095,0.86021,1.204,0.79149,0.76698,0.8021,0.5985,1.01937,0.80931,1.28892,0.001585,0.001585,0.001585
87,49895,0.9001,0.83921,1.19564,0.80725,0.76483,0.81543,0.60241,1.00494,0.78759,1.27856,0.001486,0.001486,0.001486
88,50202.5,0.90837,0.84231,1.20167,0.82303,0.76921,0.81892,0.61749,0.99953,0.7895,1.27149,0.001387,0.001387,0.001387
89,50508.4,0.90929,0.85333,1.2032,0.80537,0.77917,0.81991,0.61729,1.0023,0.77692,1.27744,0.001288,0.001288,0.001288
90,50814.5,0.9066,0.84067,1.20602,0.80529,0.7802,0.82383,0.62106,0.98094,0.75337,1.25492,0.001189,0.001189,0.001189
